date,time,store_id,product_id,product_name,category,quantity,price,payment_method,customer_segment,time_of_day,month,total_sales
2025-03-29 08:12:46.381540,08:36,Store D,P2240,Power Bank,Storage,3,632.72,Mobile Payment,New,8,3,1898.16
2025-06-14 08:12:46.381540,10:43,Store A,P7000,Speaker,Computers,3,973.96,Credit Card,Regular,10,6,2921.88
2025-03-19 08:12:46.381540,08:17,Store D,P1306,Camera,Electronics,2,239.03,Debit Card,VIP,8,3,478.06
2024-12-31 08:12:46.381540,11:47,Store D,P6615,Headphones,Audio,1,797.65,Credit Card,New,11,12,797.65
2025-04-02 08:12:46.381540,12:09,Store C,P4556,Smartphone,Computers,4,538.91,Credit Card,Regular,12,4,2155.64
2025-02-26 08:12:46.381540,19:28,Store D,P8820,Power Bank,Electronics,3,229.26,Cash,Premium,19,2,687.78
2025-01-06 08:12:46.381540,19:30,Store A,P3519,Laptop,Accessories,3,60.53,Cash,Regular,19,1,181.59
2025-03-29 08:12:46.381540,19:33,Store B,P9425,USB Drive,Computers,3,762.32,Debit Card,VIP,19,3,2286.96
2025-04-17 08:12:46.381540,19:04,Store D,P5429,Monitor,Audio,3,323.31,Mobile Payment,Regular,19,4,969.9300000000001
2025-03-01 08:12:46.381540,14:55,Store D,P9613,Laptop,Computers,3,381.83,Debit Card,Regular,14,3,1145.49
2025-03-14 08:12:46.381540,16:22,Store B,P4120,Router,Computers,1,490.38,Mobile Payment,Premium,16,3,490.38
2025-04-12 08:12:46.381540,10:48,Store A,P4112,Power Bank,Electronics,3,512.12,Mobile Payment,Premium,10,4,1536.3600000000001
2025-03-26 08:12:46.381540,20:49,Store A,P7777,Smartwatch,Storage,3,214.12,Cash,New,20,3,642.36
2025-03-30 08:12:46.381540,13:46,Store D,P4716,Speaker,Storage,3,673.94,Cash,Premium,13,3,2021.8200000000002
2025-05-17 08:12:46.381540,14:03,Store C,P5972,Camera,Computers,4,695.61,Debit Card,Premium,14,5,2782.44
2025-04-26 08:12:46.381540,15:44,Store D,P5935,Speaker,Audio,4,150.88,Debit Card,VIP,15,4,603.52
2025-05-15 08:12:46.381540,19:33,Store B,P3571,Router,Audio,1,537.58,Debit Card,VIP,19,5,537.58
2025-02-07 08:12:46.381540,18:14,Store B,P7533,Router,Electronics,3,613.17,Cash,Regular,18,2,1839.5099999999998
2024-12-18 08:12:46.381540,16:00,Store B,P3246,Headphones,Computers,3,194.39,Cash,VIP,16,12,583.17
2025-03-14 08:12:46.381540,19:19,Store D,P3774,USB Drive,Computers,2,895.52,Credit Card,New,19,3,1791.04
2025-05-23 08:12:46.381540,13:31,Store D,P4384,Printer,Storage,4,488.0,Debit Card,New,13,5,1952.0
2025-01-23 08:12:46.381540,11:00,Store A,P4866,Smartphone,Electronics,2,123.88,Credit Card,Regular,11,1,247.76
2025-04-25 08:12:46.381540,09:28,Store C,P6274,Printer,Accessories,3,341.05,Mobile Payment,New,9,4,1023.1500000000001
2025-01-06 08:12:46.381540,13:03,Store D,P4991,Smartphone,Audio,3,482.19,Debit Card,New,13,1,1446.57
2025-05-26 08:12:46.381540,18:57,Store A,P1722,Smartwatch,Audio,2,20.04,Cash,Premium,18,5,40.08
2025-02-12 08:12:46.381540,15:07,Store D,P4195,Printer,Computers,1,41.59,Debit Card,Regular,15,2,41.59
2025-01-07 08:12:46.381540,16:02,Store A,P9836,Speaker,Electronics,1,64.97,Debit Card,New,16,1,64.97
2025-03-15 08:12:46.381540,20:32,Store A,P5682,Speaker,Accessories,2,542.75,Cash,Regular,20,3,1085.5
2025-02-03 08:12:46.381540,17:16,Store C,P3585,USB Drive,Audio,3,342.73,Cash,New,17,2,1028.19
2025-02-13 08:12:46.381540,17:32,Store D,P9240,Headphones,Electronics,2,894.17,Mobile Payment,VIP,17,2,1788.34
2025-06-04 08:12:46.381540,14:36,Store A,P1977,USB Drive,Accessories,4,563.64,Debit Card,Regular,14,6,2254.56
2024-12-31 08:12:46.381540,10:04,Store B,P4586,Speaker,Computers,1,762.3,Debit Card,VIP,10,12,762.3
2025-06-09 08:12:46.381540,08:24,Store B,P1001,Tablet,Storage,2,690.26,Debit Card,Regular,8,6,1380.52
2025-02-05 08:12:46.381540,10:58,Store B,P4372,Laptop,Audio,1,525.12,Debit Card,VIP,10,2,525.12
2025-04-03 08:12:46.381540,19:44,Store C,P2640,Headphones,Audio,4,747.27,Mobile Payment,Premium,19,4,2989.08
2025-02-09 08:12:46.381540,14:11,Store A,P1784,Keyboard,Accessories,3,549.26,Debit Card,VIP,14,2,1647.78
2025-02-18 08:12:46.381540,14:34,Store C,P2378,Mouse,Storage,3,391.6,Mobile Payment,New,14,2,1174.8000000000002
2025-04-26 08:12:46.381540,08:07,Store D,P7324,Smartwatch,Electronics,3,441.45,Mobile Payment,Premium,8,4,1324.35
2025-02-05 08:12:46.381540,20:16,Store D,P6308,Power Bank,Computers,1,840.12,Cash,VIP,20,2,840.12
2025-04-30 08:12:46.381540,16:42,Store A,P4510,Power Bank,Electronics,4,567.64,Debit Card,Premium,16,4,2270.56
2025-01-06 08:12:46.381540,19:52,Store B,P4821,Monitor,Accessories,2,383.52,Cash,Premium,19,1,767.04
2025-02-27 08:12:46.381540,20:58,Store A,P6599,Smartphone,Audio,3,187.95,Mobile Payment,New,20,2,563.8499999999999
2025-06-01 08:12:46.381540,16:46,Store A,P9263,Headphones,Audio,1,500.4,Credit Card,VIP,16,6,500.4
2025-01-03 08:12:46.381540,14:48,Store A,P9813,Printer,Electronics,3,259.88,Credit Card,Premium,14,1,779.64
2025-04-27 08:12:46.381540,14:14,Store C,P2642,USB Drive,Computers,4,956.02,Debit Card,New,14,4,3824.08
2025-03-15 08:12:46.381540,20:09,Store D,P5704,Mouse,Accessories,2,496.07,Credit Card,Regular,20,3,992.14
2025-02-14 08:12:46.381540,12:38,Store A,P3974,Tablet,Computers,3,18.86,Cash,Regular,12,2,56.58
2024-12-30 08:12:46.381540,17:03,Store A,P9462,Keyboard,Accessories,4,101.95,Credit Card,Premium,17,12,407.8
2024-12-25 08:12:46.381540,09:23,Store A,P3116,USB Drive,Computers,1,291.48,Credit Card,Premium,9,12,291.48
2025-03-16 08:12:46.381540,18:45,Store C,P8448,Printer,Electronics,4,101.24,Mobile Payment,Premium,18,3,404.96
2025-02-07 08:12:46.381540,09:49,Store C,P6037,USB Drive,Storage,1,895.02,Cash,New,9,2,895.02
2025-04-25 08:12:46.381540,13:49,Store C,P9556,Speaker,Accessories,3,855.81,Debit Card,New,13,4,2567.43
2025-03-10 08:12:46.381540,12:37,Store A,P9395,Router,Electronics,3,971.15,Cash,VIP,12,3,2913.45
2025-03-18 08:12:46.381540,18:11,Store B,P1105,Laptop,Audio,4,709.4,Cash,Regular,18,3,2837.6
2025-04-06 08:12:46.381540,13:58,Store B,P8555,Tablet,Audio,1,649.01,Debit Card,Premium,13,4,649.01
2025-06-06 08:12:46.381540,10:33,Store B,P2291,Mouse,Computers,4,924.26,Cash,Premium,10,6,3697.04
2024-12-24 08:12:46.381540,17:04,Store D,P3153,Speaker,Audio,4,946.93,Mobile Payment,New,17,12,3787.72
2025-06-09 08:12:46.381540,11:45,Store A,P9879,Camera,Storage,3,878.71,Debit Card,New,11,6,2636.13
2025-01-20 08:12:46.381540,19:52,Store B,P6895,Camera,Accessories,3,862.86,Mobile Payment,VIP,19,1,2588.58
2025-03-07 08:12:46.381540,08:56,Store B,P2099,Mouse,Computers,3,674.99,Cash,Regular,8,3,2024.97
2025-05-29 08:12:46.381540,09:14,Store B,P5975,Camera,Accessories,4,11.59,Credit Card,Premium,9,5,46.36
2025-02-04 08:12:46.381540,13:07,Store A,P4073,Smartwatch,Accessories,4,435.22,Debit Card,New,13,2,1740.88
2025-03-30 08:12:46.381540,11:33,Store B,P9372,Headphones,Electronics,2,639.31,Debit Card,Regular,11,3,1278.62
2025-04-27 08:12:46.381540,19:25,Store B,P4675,Smartphone,Audio,2,551.66,Credit Card,VIP,19,4,1103.32
2024-12-18 08:12:46.381540,10:25,Store A,P8739,Headphones,Accessories,4,822.92,Credit Card,Regular,10,12,3291.68
2025-04-29 08:12:46.381540,08:29,Store D,P9155,Keyboard,Storage,2,820.71,Debit Card,Premium,8,4,1641.42
2025-02-08 08:12:46.381540,20:13,Store C,P2500,Headphones,Storage,4,602.7,Credit Card,New,20,2,2410.8
2025-04-01 08:12:46.381540,19:27,Store B,P3393,Headphones,Audio,3,31.77,Mobile Payment,Premium,19,4,95.31
2024-12-20 08:12:46.381540,15:02,Store C,P6244,Laptop,Audio,1,375.64,Cash,Regular,15,12,375.64
2025-02-08 08:12:46.381540,12:08,Store D,P9553,Smartphone,Computers,3,236.53,Mobile Payment,New,12,2,709.59
2025-05-11 08:12:46.381540,10:56,Store D,P2061,Speaker,Computers,4,345.4,Cash,VIP,10,5,1381.6
2025-01-29 08:12:46.381540,20:40,Store B,P8887,Router,Computers,3,621.12,Cash,VIP,20,1,1863.3600000000001
2025-05-27 08:12:46.381540,16:20,Store A,P7658,Headphones,Audio,4,75.8,Credit Card,New,16,5,303.2
2024-12-30 08:12:46.381540,12:36,Store D,P4057,Smartphone,Accessories,4,32.02,Credit Card,VIP,12,12,128.08
2025-03-21 08:12:46.381540,09:14,Store C,P3815,Monitor,Electronics,2,442.5,Mobile Payment,VIP,9,3,885.0
2025-02-02 08:12:46.381540,20:51,Store C,P6928,Camera,Computers,4,795.64,Credit Card,New,20,2,3182.56
2024-12-31 08:12:46.381540,15:20,Store C,P9889,Printer,Electronics,1,40.39,Mobile Payment,Premium,15,12,40.39
2025-01-25 08:12:46.381540,17:30,Store C,P3690,Laptop,Storage,2,850.56,Debit Card,Regular,17,1,1701.12
2025-03-08 08:12:46.381540,16:36,Store D,P3268,Camera,Audio,1,390.04,Mobile Payment,Premium,16,3,390.04
2025-04-06 08:12:46.381540,12:02,Store B,P3201,Smartphone,Storage,4,127.05,Cash,Regular,12,4,508.2
2025-02-07 08:12:46.381540,14:57,Store B,P5688,External HDD,Computers,3,571.82,Debit Card,Regular,14,2,1715.46
2025-01-09 08:12:46.381540,14:50,Store C,P6624,Power Bank,Accessories,4,952.84,Mobile Payment,New,14,1,3811.36
